0/-1	" It is easier to fool a million people than it is to convince a million people that they have been fooled." - Mark Twain
0/0	" NATURAL IMMUNITY " protected us since evolution. Do not exist anymore?
0/-1	" NATURAL IMMUNITY " protected us since evolution. Do not exist anymore? ? ? No one talks about it, Why? ?
1/1/1/-1	" The bigest sideffect of vaccines is fewer dead children " That is savage
1/1	" Vaccine takes more than a year to develop. " This is the mistake people are making. Its not 1976 anymore. Vaccines do not take years to make.
1/1	" out of anger People say stupid things" man is spot on. I got vaccine, im a 41 year olds old, had minor symptoms. Well Worth getting it, if it helps me get back to living normal life, Im all for it
0/0	"... vaccines are safe and effective." Why? Because WE SAID SO!
1/0/-1/0	"90% of people that get vaccinated don't get the virus" Wooow what's in the vaccine then? I'm very pro vaccination, but in my opinion Covid 19 vaccine is just sweetened water.
1/1	"95.6% effective against the original strain and 85.6% effective against the variant." Excellent news. Every positive news during this pandemic is to be welcomed (no pun intended)
0/-1	"A recent survey by the Kaiser Family Foundation found that 29% of healthcare workers were hesitant to receive the vaccine, citing concerns." Does this make all healthcare workers, a world "Health Threat" as big as Ebola if they refuse the life-threatening Covid Vaccine?
0/0	"A robber will never say he stole something" Don't wait for the media to tell you the truth...
0/0	"After taking the vaccine this week, OHA said the employee experienced anaphylaxis. OHA said the employee is recovering in the hospital." That means they could've died!
0/0	"Always trust a government that gives you free stuff." -Nobody Ever
0/0	"Apocalypse omelet with Fauci sauce, Gates pickles, served in a roadside Censorship Diner by Joe Biden in his pajamas after escaping the White House and hitching a ride to Kansas".
0/0	"Appears Safe"... yeh think I will pass.
0/-1	"Benefits of the covid vaccine outweigh the risks“ Benefits = Profit Risks = Your death
0/0	"Benefits outweigh the risk?" A heart bypass sure but a virus with 90% survival rate? Dammm
1/1	"Both NHS workers have a history of serious allergies and carry adrenaline pens around with them." So 2 people had a reaction out of thousands and they were already prone to them. I will still be getting the jab when it is offered to me.Thank you!
1/1	"But I don't know what's in the vaccine". Girl, you don't know what's in your cereal but trust the FDA approval of it anyway. Wtf is your point?!?
0/0	"COVID arm" is a new rash-like side effect appearing among some people who've received Moderna's COVID-19 vaccine.
1/-1	"Distrust in the government is no cause for suspicion" Burt Gummer
1/1	"Doctors don't know anything about vaccines"?!? What is she fucking talking about?? That's like saying that Mechanics don't know anything about carburators! The fact that she said that implies that she knows more about vaccines than actual doctors. That her 20-30 minutes of "research" on google finding the answers she wanted is in some way a better education on vaccines than years in college studying in the field of medicine. Wow.
0/1	"Durrrr I thought they were already safe!!!! The vaccines are gonna turn us into living tracking devices!!!! Now excuse me while I keep scrolling Facebook which also tracks my every move, but it's only bad when an organisation with the word World in it does it because", idk, communism I guess?
1/1	"Feelings are often immune to facts" I loved this statement, it's very true, Anti-Vaxxers would not accept, understand or comprehend Scientific and Statistic proofs, they just keep throwing misinformation and very weak arguments that do not make sense at all.
0/0	"HERD" immunity???? That's an insult to the human race as it makes us sound like a HERD of CATTLE! That term is SO Offensive to me! It should be cancelled along with the religion of science.
1/1	"Half million people have died" what else prove you guys need to get vaccinated?? "
0/0	"Highly Effective." Ummmm..... Highly effective at what? Sterilization? It seems we have to make some assumptions to understand this sentence.
